Delivery Challan ID,Challan Date,Delivery Challan Number,Challan Type,Status,Invoice Status,Branch ID,Branch Name,Customer ID,Customer Name,Place of Supply,GST Treatment,GST Identification Number (GSTIN),Is Inclusive Tax,Template Name,Currency Code,Exchange Rate,Discount Type,Is Discount Before Tax,Entity Discount Amount,Entity Discount Percent,Item Name,MRP,Product ID,SKU,Kit Combo Item Name,Account,Item Desc,QuantityOrdered,QuantityInvoiced,Usage unit,Item Price,Discount,Discount Amount,HSN/SAC,Is Tax Calculated on Label Price,Warehouse Name,Supply Type,Tax ID,Item Tax,Item Tax %,Item Tax Amount,Item Tax Type,Item Tax Authority,Item Tax Exemption Reason,Item Type,Loaction,Item Total,SubTotal,Total,Item.CF.No of pcs in Master carton,CF.Dispatched Through,CF.Tracking No,CF.Send By
99381000004971671,2022-03-16,DC-00339,others,Draft,,99381000000098082,Cochin,99381000000036062,TRAVANCORE SCALES SERVICES,KL,business_gst,32APBPN7027C2ZD,false,Standard Template,INR,1.00,entity_level,true,0.000,0.00,Freight Charges,,99381000000557009,COCS,,Sales,in kg,50.00,0.00,kg,9.00,0.00,0.0,996819,FALSE,,Taxable,99381000000006208,GST18,18.000000,81.00,Tax Group,,,service,,450.00,22450.00,26491.00,,ST courier ,,Shalima KT
99381000004971827,2022-03-17,DC-00340,others,Draft,,99381000000098082,Cochin,99381000000036062,TRAVANCORE SCALES SERVICES,KL,business_gst,32APBPN7027C2ZD,false,Standard Template,INR,1.00,entity_level,true,0.000,0.00,Platform Weighing Scale 30x34 SS,,99381000003938861,PFPC30X34SS,,Sales,Max : 50kg  e: 5g Class III,10.00,0.00,nos,2200.00,0.00,0.0,84238290,FALSE,Cochin,Taxable,99381000000006208,GST18,18.000000,3960.00,Tax Group,,,goods,,22000.00,22450.00,26491.00,,ST courier ,,Eldho
99381000004971827,2022-03-17,DC-00340,others,Draft,,99381000000098082,Cochin,99381000000036062,TRAVANCORE SCALES SERVICES,KL,business_gst,32APBPN7027C2ZD,false,Standard Template,INR,1.00,entity_level,true,0.000,0.00,Freight Charges,,99381000000557009,COCS,,Sales,,50.00,0.00,kg,9.00,0.00,0.0,996819,FALSE,,Taxable,99381000000006208,GST18,18.000000,81.00,Tax Group,,,service,,450.00,22450.00,26491.00,,ST courier ,,Eldho
99381000005055057,2022-04-02,DC-00341,others,Draft,,99381000000098082,Cochin,99381000000154169,LOGIWIZ LOGISTICS INDIA PVT LTD,KL,consumer,,false,Standard Template,INR,1.00,entity_level,true,0.000,0.00,Sealing Machine,,99381000004091084,FR990,,Sales,,1.00,0.00,nos,9750.00,0.00,0.0,84238290,FALSE,Cochin,Taxable,99381000000006208,GST18,18.000000,1755.00,Tax Group,,,goods,,9750.00,11750.00,13865.00,,,,
99381000005055057,2022-04-02,DC-00341,others,Draft,,99381000000098082,Cochin,99381000000154169,LOGIWIZ LOGISTICS INDIA PVT LTD,KL,consumer,,false,Standard Template,INR,1.00,entity_level,true,0.000,0.00,VERTICAL STAND,,99381000004089854,VSTAND,,Sales,,1.00,0.00,nos,2000.00,0.00,0.0,84239020,FALSE,Cochin,Taxable,99381000000006208,GST18,18.000000,360.00,Tax Group,,,goods,,2000.00,11750.00,13865.00,,,,
99381000005055087,2022-04-02,DC-00342,others,Draft,,99381000000098082,Cochin,99381000000014794,ALUVA SCALES INC,KL,business_gst,32AAZFA1454F1ZI,false,Standard Template,INR,1.00,entity_level,true,0.000,0.00,Sealing Machine,,99381000004091084,FR990,,Sales,,1.00,0.00,nos,9750.00,0.00,0.0,84238290,FALSE,Cochin,Taxable,99381000000006208,GST18,18.000000,1755.00,Tax Group,,,goods,,9750.00,11750.00,13865.00,,Customer Pick,,Shalima KT
99381000005055087,2022-04-02,DC-00342,others,Draft,,99381000000098082,Cochin,99381000000014794,ALUVA SCALES INC,KL,business_gst,32AAZFA1454F1ZI,false,Standard Template,INR,1.00,entity_level,true,0.000,0.00,VERTICAL STAND,,99381000004089854,VSTAND,,Sales,,1.00,0.00,nos,2000.00,0.00,0.0,84239020,FALSE,Cochin,Taxable,99381000000006208,GST18,18.000000,360.00,Tax Group,,,goods,,2000.00,11750.00,13865.00,,Customer Pick,,Shalima KT
99381000005099031,2022-04-08,DC-00343,Job Work,Draft,,99381000000098082,Cochin,99381000000940238,INTERWEIGHING PVT. LTD.,KL,business_gst,32AAFCI1950F1ZZ,false,Standard Template,INR,1.00,entity_level,true,0.000,0.00,ELECTRONIC PLATFORM SCALE 50-100kg,,99381000004032287,BEN340,,Sales,"Model : YSP PC Capacity : 50kg/100kg e:5g/10g
Size : 30*40cm, Plate : SS, Display : LED (Red) Accuracy :Dual",2.00,0.00,nos,2500.00,0.00,0.0,84238290,FALSE,Cochin,Taxable,99381000000006208,GST18,18.000000,900.00,Tax Group,,,goods,,5000.00,5000.00,5900.00,,Customer Pick,,Eldho
99381000005108908,2022-04-11,DC-00344,others,Draft,,99381000000098082,Cochin,99381000002314035,DEEPAK ELECTRONICS,HR,business_gst,06BBNPB1954K1ZK,false,Standard Template,INR,1.00,entity_level,true,0.000,0.00,Q9LBL PRINTER,,99381000001663305,Q9702,,Sales,,2.00,0.00,nos,6500.00,0.00,0.0,84239020,FALSE,Cochin,Taxable,99381000000006196,IGST18,18.000000,2340.00,ItemAmount,INTD,,goods,,13000.00,13000.00,15340.00,,Amal Assosiate,,Teslin
99381000005127117,2022-04-13,DC-00345,others,Draft,,99381000000098082,Cochin,99381000000154169,LOGIWIZ LOGISTICS INDIA PVT LTD,KL,consumer,,false,Standard Template,INR,1.00,entity_level,true,0.000,0.00,Sealing Machine,,99381000004091084,FR990,,Sales,,2.00,0.00,nos,9750.00,0.00,0.0,84238290,FALSE,Cochin,Taxable,99381000000006208,GST18,18.000000,3510.00,Tax Group,,,goods,,19500.00,21500.00,25370.00,,,,
99381000005127117,2022-04-13,DC-00345,others,Draft,,99381000000098082,Cochin,99381000000154169,LOGIWIZ LOGISTICS INDIA PVT LTD,KL,consumer,,false,Standard Template,INR,1.00,entity_level,true,0.000,0.00,VERTICAL STAND,,99381000004089854,VSTAND,,Sales,,1.00,0.00,nos,2000.00,0.00,0.0,84239020,FALSE,Cochin,Taxable,99381000000006208,GST18,18.000000,360.00,Tax Group,,,goods,,2000.00,21500.00,25370.00,,,,
99381000005152035,2022-04-16,DC-00346,others,Draft,,99381000000098082,Cochin,99381000000084508,ACE ELECTRONICS,KL,business_gst,32AAZFA3650P1ZV,false,Standard Template,INR,1.00,entity_level,true,0.000,0.00,Bench Green Motherboard,,99381000004929443,BGC203,,Sales,,3.00,0.00,nos,180.00,0.00,0.0,84239020,FALSE,Cochin,Taxable,99381000000006208,GST18,18.000000,97.20,Tax Group,,,goods,,540.00,960.00,1133.00,,Amal Assosiate,,Teslin
99381000005152035,2022-04-16,DC-00346,others,Draft,,99381000000098082,Cochin,99381000000084508,ACE ELECTRONICS,KL,business_gst,32AAZFA3650P1ZV,false,Standard Template,INR,1.00,entity_level,true,0.000,0.00,Bench Green Loadcell -130kg,,99381000004929434,BGC202,,Sales,,2.00,0.00,nos,210.00,0.00,0.0,84239020,FALSE,Cochin,Taxable,99381000000006208,GST18,18.000000,75.60,Tax Group,,,goods,,420.00,960.00,1133.00,,Amal Assosiate,,Teslin
99381000005152047,2022-04-16,DC-00347,others,Draft,,99381000000098082,Cochin,99381000000112170,MEEZAN ELECTRONIC SCALES PRIVATE LIMITED,KL,business_gst,32AAECM1277C1ZY,false,Standard Template,INR,1.00,entity_level,true,0.000,0.00,AC MOTOR CCM,,99381000001563114,CCM102,,Sales,,1.00,0.00,nos,600.00,0.00,0.0,84239020,FALSE,Cochin,Taxable,99381000000006208,GST18,18.000000,108.00,Tax Group,,,goods,,600.00,600.00,708.00,,ST courier ,,Teslin
99381000005154113,2022-04-16,DC-00348,others,Draft,,99381000000098082,Cochin,99381000000940238,INTERWEIGHING PVT. LTD.,KL,business_gst,32AAFCI1950F1ZZ,false,Standard Template,INR,1.00,entity_level,true,0.000,0.00,ELECTRONIC PLATFORM SCALE 50-100kg,,99381000004032287,BEN340,,Sales,"Model : YSP PC Capacity : 50kg/100kg e:5g/10g
Size : 30*40cm, Plate : SS, Display : LED (Red) Accuracy :Dual",2.00,0.00,nos,2500.00,0.00,0.0,84238290,FALSE,Cochin,Taxable,99381000000006208,GST18,18.000000,900.00,Tax Group,,,goods,,5000.00,8500.00,10030.00,,Customer Pick,,Shalima KT
99381000005154113,2022-04-16,DC-00348,others,Draft,,99381000000098082,Cochin,99381000000940238,INTERWEIGHING PVT. LTD.,KL,business_gst,32AAFCI1950F1ZZ,false,Standard Template,INR,1.00,entity_level,true,0.000,0.00,ELECTRONIC PLATFORM SCALE,,99381000003880539,PLT4050,,Sales,"Model : YSP PC Capacity: 200kg/300kg e: 20g/50g Min : 1kg
Size : 40*50 cm, Display : LED (Red), With Back Rail",1.00,0.00,nos,3500.00,0.00,0.0,84238290,FALSE,Cochin,Taxable,99381000000006208,GST18,18.000000,630.00,Tax Group,,,goods,,3500.00,8500.00,10030.00,,Customer Pick,,Shalima KT
99381000005152057,2022-04-16,DC-00349,Job Work,Draft,,99381000000098082,Cochin,99381000000940238,INTERWEIGHING PVT. LTD.,KL,business_gst,32AAFCI1950F1ZZ,false,Standard Template,INR,1.00,entity_level,true,0.000,0.00,Platform scale -Bench,,99381000004179810,DY5030,,Sales,"Size : 30*34 Max: 50kg e: 5g
Dual display, LED RED display
",1.00,0.00,nos,1000.00,0.00,0.0,84238290,FALSE,Cochin,Taxable,99381000000006208,GST18,18.000000,180.00,Tax Group,,,goods,,1000.00,1000.00,1180.00,,,,
99381000005174067,2022-04-19,DC-00350,others,Draft,,99381000000098082,Cochin,99381000002312117,DEV WEIGHING SOLUTIONS,HR,business_gst,06AIEPK0868L1Z1,false,Standard Template,INR,1.00,entity_level,true,0.000,0.00,ECS5W PRINTER ROLLER WITH HEAD,,99381000002008253,ECS820,,Sales,,1.00,0.00,nos,2200.00,0.00,0.0,84239020,FALSE,Cochin,Taxable,99381000000006196,IGST18,18.000000,396.00,ItemAmount,INTD,,goods,,2200.00,2200.00,2596.00,,Amal Assosiate,,Teslin
99381000005174077,2022-04-19,DC-00351,others,Draft,,99381000000098082,Cochin,99381000000151001,Dynamic Enterprises,KL,business_gst,32ATJPS7075B1ZN,false,Standard Template,INR,1.00,entity_level,true,0.000,0.00,,,,,,Sales,CCM  UPGRADING TOOL,1.00,0.00,,500.00,0.00,0.0,84239020,FALSE,,Taxable,99381000000006208,GST18,18.000000,90.00,Tax Group,,,service,,500.00,500.00,590.00,,Amal Assosiate,,Teslin
99381000005174087,2022-04-19,DC-00352,others,Draft,,99381000000098082,Cochin,99381000000114383,ACCURATE TRADE LINKS,KL,business_gst,32AHJPK1741Q1Z4,false,Standard Template,INR,1.00,entity_level,true,0.000,0.00,,,,,,Sales,CCM UPGARDING TOOL,1.00,0.00,,500.00,0.00,0.0,84239020,FALSE,,Taxable,99381000000006208,GST18,18.000000,90.00,Tax Group,,,service,,500.00,500.00,590.00,,Amal Assosiate,,Teslin
99381000005174097,2022-04-19,DC-00353,others,Draft,,99381000000098082,Cochin,99381000000112170,MEEZAN ELECTRONIC SCALES PRIVATE LIMITED,KL,business_gst,32AAECM1277C1ZY,false,Standard Template,INR,1.00,entity_level,true,0.000,0.00,,,,,,Sales,CCM UPGADING TOOL,1.00,0.00,,500.00,0.00,0.0,84239020,FALSE,,Taxable,99381000000006208,GST18,18.000000,90.00,Tax Group,,,service,,500.00,500.00,590.00,,Amal Assosiate,,Teslin
99381000005187357,2022-04-20,DC-00354,others,Draft,,99381000000098082,Cochin,99381000004803001,LUCKNOW TRADING COMPANY,UP,business_gst,09ASBPB0791N1ZL,false,Standard Template,INR,1.00,entity_level,true,0.000,0.00,Platform scale -Bench,,99381000004179810,DY5030,,Sales,"Size : 30*34 Max: 50kg e: 5g
Dual display, LED RED display
",1.00,0.00,nos,1000.00,0.00,0.0,84238290,FALSE,Cochin,Taxable,99381000000006196,IGST18,18.000000,180.00,ItemAmount,INTD,,goods,,1000.00,1000.00,1180.00,,Delhivery,,Shalima KT
99381000005211213,2022-04-22,DC-00355,others,Draft,,99381000000098082,Cochin,99381000001357095,Chipdot Enterprises,KL,business_gst,32DOVPK2733G1ZT,false,Standard Template,INR,1.00,entity_level,true,0.000,0.00,ATM/BENCH PC MOTHER BOARD,,99381000000313080,BPC114,,Sales,,2.00,0.00,nos,150.00,0.00,0.0,84239020,FALSE,Cochin,Taxable,99381000000006208,GST18,18.000000,54.00,Tax Group,,,goods,,300.00,300.00,354.00,,Amal Assosiate,,Teslin
99381000005211223,2022-04-22,DC-00356,others,Draft,,99381000000098082,Cochin,99381000000112170,MEEZAN ELECTRONIC SCALES PRIVATE LIMITED,KL,business_gst,32AAECM1277C1ZY,false,Standard Template,INR,1.00,entity_level,true,0.000,0.00,MOTHER BOARD CCM,,99381000001577157,CCM112,,Sales,,1.00,0.00,nos,1200.00,0.00,0.0,84239020,FALSE,Cochin,Taxable,99381000000006208,GST18,18.000000,216.00,Tax Group,,,goods,,1200.00,1200.00,1416.00,,Amal Assosiate,,Teslin
99381000005211235,2022-04-22,DC-00357,others,Draft,,99381000000098082,Cochin,99381000000260021,Sonic Weighing Systems,KA,business_gst,29ABXFS4266Q1ZS,false,Standard Template,INR,1.00,entity_level,true,0.000,0.00,ECS5W DOT  MATRIX DISPLAY,,99381000001687432,ECS826,,Sales,,1.00,0.00,nos,750.00,0.00,0.0,84239020,FALSE,Cochin,Taxable,99381000000006196,IGST18,18.000000,135.00,ItemAmount,INTD,,goods,,750.00,750.00,885.00,,Amal Assosiate,,Teslin
99381000005211245,2022-04-22,DC-00358,others,Draft,,99381000000098082,Cochin,99381000000136578,DIGITAL SCALE,KL,business_gst,32AOLPN0287R2ZA,false,Standard Template,INR,1.00,entity_level,true,0.000,0.00,ATM/BENCH PC MOTHER BOARD,,99381000000313080,BPC114,,Sales,,3.00,0.00,nos,150.00,0.00,0.0,84239020,FALSE,Cochin,Taxable,99381000000006208,GST18,18.000000,81.00,Tax Group,,,goods,,450.00,630.00,743.00,,Amal Assosiate,,Teslin
99381000005211245,2022-04-22,DC-00358,others,Draft,,99381000000098082,Cochin,99381000000136578,DIGITAL SCALE,KL,business_gst,32AOLPN0287R2ZA,false,Standard Template,INR,1.00,entity_level,true,0.000,0.00,Bench PC Step Down Transformer (Output: 6.5v AC),,99381000000542161,TRF6V,,Sales,,2.00,0.00,pcs,90.00,0.00,0.0,84239020,FALSE,Cochin,Taxable,99381000000006208,GST18,18.000000,32.40,Tax Group,,,goods,,180.00,630.00,743.00,,Amal Assosiate,,Teslin
99381000005221091,2022-04-26,DC-00359,others,Draft,,99381000000098082,Cochin,99381000000154169,LOGIWIZ LOGISTICS INDIA PVT LTD,KL,consumer,,false,Standard Template,INR,1.00,entity_level,true,0.000,0.00,Bench Green Keypad,,99381000005153781,BGC205,,Sales,,10.00,0.00,nos,130.00,0.00,0.0,84239020,FALSE,Cochin,Taxable,99381000000006208,GST18,18.000000,234.00,Tax Group,,,goods,,1300.00,3700.00,4366.00,,Customer Pick,,Teslin
99381000005221091,2022-04-26,DC-00359,others,Draft,,99381000000098082,Cochin,99381000000154169,LOGIWIZ LOGISTICS INDIA PVT LTD,KL,consumer,,false,Standard Template,INR,1.00,entity_level,true,0.000,0.00,Bench Green Front & Back Display,,99381000004929452,BGC204,,Sales,,5.00,0.00,nos,245.00,0.00,0.0,84239020,FALSE,Cochin,Taxable,99381000000006208,GST18,18.000000,220.50,Tax Group,,,goods,,1225.00,3700.00,4366.00,,Customer Pick,,Teslin
99381000005221091,2022-04-26,DC-00359,others,Draft,,99381000000098082,Cochin,99381000000154169,LOGIWIZ LOGISTICS INDIA PVT LTD,KL,consumer,,false,Standard Template,INR,1.00,entity_level,true,0.000,0.00,Bench PC Panel Overlay Sticker,,99381000000542125,BPC103,,Sales,Back ,5.00,0.00,pcs,25.00,0.00,0.0,84239020,FALSE,Cochin,Taxable,99381000000006208,GST18,18.000000,22.50,Tax Group,,,goods,,125.00,3700.00,4366.00,,Customer Pick,,Teslin
99381000005221091,2022-04-26,DC-00359,others,Draft,,99381000000098082,Cochin,99381000000154169,LOGIWIZ LOGISTICS INDIA PVT LTD,KL,consumer,,false,Standard Template,INR,1.00,entity_level,true,0.000,0.00,Bench PLT Battery,,99381000004416064,BATTER,,Sales,,1.00,0.00,nos,185.00,0.00,0.0,84239020,FALSE,Cochin,Taxable,99381000000006208,GST18,18.000000,33.30,Tax Group,,,goods,,185.00,3700.00,4366.00,,Customer Pick,,Teslin
99381000005221091,2022-04-26,DC-00359,others,Draft,,99381000000098082,Cochin,99381000000154169,LOGIWIZ LOGISTICS INDIA PVT LTD,KL,consumer,,false,Standard Template,INR,1.00,entity_level,true,0.000,0.00,Bench Green Motherboard,,99381000004929443,BGC203,,Sales,,1.00,0.00,nos,180.00,0.00,0.0,84239020,FALSE,Cochin,Taxable,99381000000006208,GST18,18.000000,32.40,Tax Group,,,goods,,180.00,3700.00,4366.00,,Customer Pick,,Teslin
99381000005221091,2022-04-26,DC-00359,others,Draft,,99381000000098082,Cochin,99381000000154169,LOGIWIZ LOGISTICS INDIA PVT LTD,KL,consumer,,false,Standard Template,INR,1.00,entity_level,true,0.000,0.00,ON/OFF SWITCH,,99381000002008051,SWITCH,,Sales,,48.00,0.00,nos,5.00,0.00,0.0,84239020,FALSE,Cochin,Taxable,99381000000006208,GST18,18.000000,43.20,Tax Group,,,goods,,240.00,3700.00,4366.00,,Customer Pick,,Teslin
99381000005221091,2022-04-26,DC-00359,others,Draft,,99381000000098082,Cochin,99381000000154169,LOGIWIZ LOGISTICS INDIA PVT LTD,KL,consumer,,false,Standard Template,INR,1.00,entity_level,true,0.000,0.00,Bench PC On/Off Switch,,99381000000542188,BPC110,,Sales,,5.00,0.00,,15.00,0.00,0.0,84239020,FALSE,Cochin,Taxable,99381000000006208,GST18,18.000000,13.50,Tax Group,,,goods,,75.00,3700.00,4366.00,,Customer Pick,,Teslin
99381000005221091,2022-04-26,DC-00359,others,Draft,,99381000000098082,Cochin,99381000000154169,LOGIWIZ LOGISTICS INDIA PVT LTD,KL,consumer,,false,Standard Template,INR,1.00,entity_level,true,0.000,0.00,Bench PC 3 Pin Power Cord Connector Port,,99381000000542143,BPC105,,Sales,,5.00,0.00,pcs,25.00,0.00,0.0,84239020,FALSE,Cochin,Taxable,99381000000006208,GST18,18.000000,22.50,Tax Group,,,goods,,125.00,3700.00,4366.00,,Customer Pick,,Teslin
99381000005221091,2022-04-26,DC-00359,others,Draft,,99381000000098082,Cochin,99381000000154169,LOGIWIZ LOGISTICS INDIA PVT LTD,KL,consumer,,false,Standard Template,INR,1.00,entity_level,true,0.000,0.00,Bench Green Front & Back Display,,99381000004929452,BGC204,,Sales,Red,1.00,0.00,nos,245.00,0.00,0.0,84239020,FALSE,Cochin,Taxable,99381000000006208,GST18,18.000000,44.10,Tax Group,,,goods,,245.00,3700.00,4366.00,,Customer Pick,,Teslin
99381000005221123,2022-04-26,DC-00360,others,Draft,,99381000000098082,Cochin,99381000000114383,ACCURATE TRADE LINKS,KL,business_gst,32AHJPK1741Q1Z4,false,Standard Template,INR,1.00,entity_level,true,0.000,0.00,ATM JUNIOR FRONT DISPLAY (BI COLOR),,99381000001991051,AJFDBC,,Sales,,2.00,0.00,nos,150.00,0.00,0.0,84239020,FALSE,Cochin,Taxable,99381000000006208,GST18,18.000000,54.00,Tax Group,,,goods,,300.00,560.00,661.00,,Amal Assosiate,,Teslin
99381000005221123,2022-04-26,DC-00360,others,Draft,,99381000000098082,Cochin,99381000000114383,ACCURATE TRADE LINKS,KL,business_gst,32AHJPK1741Q1Z4,false,Standard Template,INR,1.00,entity_level,true,0.000,0.00,ATM PC/JUNIOR Back Display Board,,99381000000542279,APC207,,Sales,,1.00,0.00,nos,110.00,0.00,0.0,84239020,FALSE,Cochin,Taxable,99381000000006208,GST18,18.000000,19.80,Tax Group,,,goods,,110.00,560.00,661.00,,Amal Assosiate,,Teslin
99381000005221123,2022-04-26,DC-00360,others,Draft,,99381000000098082,Cochin,99381000000114383,ACCURATE TRADE LINKS,KL,business_gst,32AHJPK1741Q1Z4,false,Standard Template,INR,1.00,entity_level,true,0.000,0.00,ATM/BENCH PC MOTHER BOARD,,99381000000313080,BPC114,,Sales,,1.00,0.00,nos,150.00,0.00,0.0,84239020,FALSE,Cochin,Taxable,99381000000006208,GST18,18.000000,27.00,Tax Group,,,goods,,150.00,560.00,661.00,,Amal Assosiate,,Teslin
99381000005221137,2022-04-26,DC-00361,others,Draft,,99381000000098082,Cochin,99381000000011046,GLOBAL DIGITAL SYSTEM,KL,consumer,,false,Standard Template,INR,1.00,entity_level,true,0.000,0.00,,,,,,Sales,ECS Indicator Motherboard,1.00,0.00,,7500.00,0.00,0.0,84239020,FALSE,,Taxable,99381000000006208,GST18,18.000000,1350.00,Tax Group,,,service,,7500.00,7500.00,8850.00,,Amal Assosiate,,Teslin
99381000005219227,2022-04-26,DC-00362,others,Draft,,99381000000098082,Cochin,99381000004618029,AMBA BHAWANI TRADERS,MH,business_gst,27HTOPS9257K1ZF,false,Standard Template,INR,1.00,entity_level,true,0.000,0.00,ATM/BENCH PC MOTHER BOARD,,99381000000313080,BPC114,,Sales,,1.00,0.00,nos,150.00,0.00,0.0,84239020,FALSE,Cochin,Taxable,99381000000006196,IGST18,18.000000,27.00,ItemAmount,INTD,,goods,,150.00,410.00,484.00,,Amal Assosiate,,Teslin
99381000005219227,2022-04-26,DC-00362,others,Draft,,99381000000098082,Cochin,99381000004618029,AMBA BHAWANI TRADERS,MH,business_gst,27HTOPS9257K1ZF,false,Standard Template,INR,1.00,entity_level,true,0.000,0.00,Platform/Bench Bicolor Display,,99381000002140001,PBBD,,Sales,,1.00,0.00,nos,150.00,0.00,0.0,84239020,FALSE,Cochin,Taxable,99381000000006196,IGST18,18.000000,27.00,ItemAmount,INTD,,goods,,150.00,410.00,484.00,,Amal Assosiate,,Teslin
99381000005219227,2022-04-26,DC-00362,others,Draft,,99381000000098082,Cochin,99381000004618029,AMBA BHAWANI TRADERS,MH,business_gst,27HTOPS9257K1ZF,false,Standard Template,INR,1.00,entity_level,true,0.000,0.00,Bench PC Back Display Board,,99381000000542206,BPC112,,Sales,,1.00,0.00,pcs,110.00,0.00,0.0,84239020,FALSE,Cochin,Taxable,99381000000006196,IGST18,18.000000,19.80,ItemAmount,INTD,,goods,,110.00,410.00,484.00,,Amal Assosiate,,Teslin
99381000005240069,2022-04-28,DC-00363,others,Draft,,99381000000098082,Cochin,99381000004584231,M/S JAI ANAND TRADERS,MN,business_gst,14HFLPS1330N1Z2,false,Standard Template,INR,1.00,entity_level,true,0.000,0.00,ATM JUNIOR FRONT DISPLAY (BI COLOR),,99381000001991051,AJFDBC,,Sales,,1.00,0.00,nos,150.00,0.00,0.0,84239020,FALSE,Cochin,Taxable,99381000000006196,IGST18,18.000000,27.00,ItemAmount,INTD,,goods,,150.00,830.00,979.00,,Amal Assosiate,,Teslin
99381000005240069,2022-04-28,DC-00363,others,Draft,,99381000000098082,Cochin,99381000004584231,M/S JAI ANAND TRADERS,MN,business_gst,14HFLPS1330N1Z2,false,Standard Template,INR,1.00,entity_level,true,0.000,0.00,KEYPAD BOARD ATM JUNIOR,,99381000001656767,KBAJ,,Sales,,1.00,0.00,nos,130.00,0.00,0.0,84239020,FALSE,Cochin,Taxable,99381000000006196,IGST18,18.000000,23.40,ItemAmount,INTD,,goods,,130.00,830.00,979.00,,Amal Assosiate,,Teslin
99381000005240069,2022-04-28,DC-00363,others,Draft,,99381000000098082,Cochin,99381000004584231,M/S JAI ANAND TRADERS,MN,business_gst,14HFLPS1330N1Z2,false,Standard Template,INR,1.00,entity_level,true,0.000,0.00,ATM PC KEYPAD BOARD,,99381000000313040,APC202,,Sales,,1.00,0.00,nos,120.00,0.00,0.0,84239020,FALSE,Cochin,Taxable,99381000000006196,IGST18,18.000000,21.60,ItemAmount,INTD,,goods,,120.00,830.00,979.00,,Amal Assosiate,,Teslin
99381000005240069,2022-04-28,DC-00363,others,Draft,,99381000000098082,Cochin,99381000004584231,M/S JAI ANAND TRADERS,MN,business_gst,14HFLPS1330N1Z2,false,Standard Template,INR,1.00,entity_level,true,0.000,0.00,ATM PC FRONT DISPLAY BOARD,,99381000000313049,APC206,,Sales,,1.00,0.00,nos,130.00,0.00,0.0,84239020,FALSE,Cochin,Taxable,99381000000006196,IGST18,18.000000,23.40,ItemAmount,INTD,,goods,,130.00,830.00,979.00,,Amal Assosiate,,Teslin
99381000005240069,2022-04-28,DC-00363,others,Draft,,99381000000098082,Cochin,99381000004584231,M/S JAI ANAND TRADERS,MN,business_gst,14HFLPS1330N1Z2,false,Standard Template,INR,1.00,entity_level,true,0.000,0.00,ATM/BENCH PC MOTHER BOARD,,99381000000313080,BPC114,,Sales,,2.00,0.00,nos,150.00,0.00,0.0,84239020,FALSE,Cochin,Taxable,99381000000006196,IGST18,18.000000,54.00,ItemAmount,INTD,,goods,,300.00,830.00,979.00,,Amal Assosiate,,Teslin
99381000005240087,2022-04-28,DC-00364,others,Draft,,99381000000098082,Cochin,99381000000084508,ACE ELECTRONICS,KL,business_gst,32AAZFA3650P1ZV,false,Standard Template,INR,1.00,entity_level,true,0.000,0.00,Bench PLT Display Front & Back,,99381000004416001,BPDFB,,Sales,,2.00,0.00,nos,245.00,0.00,0.0,84239020,FALSE,Cochin,Taxable,99381000000006208,GST18,18.000000,88.20,Tax Group,,,goods,,490.00,1040.00,1227.00,,Amal Assosiate,,Teslin
99381000005240087,2022-04-28,DC-00364,others,Draft,,99381000000098082,Cochin,99381000000084508,ACE ELECTRONICS,KL,business_gst,32AAZFA3650P1ZV,false,Standard Template,INR,1.00,entity_level,true,0.000,0.00,Bench PLT Motherboard,,99381000004416019,BENCHP,,Sales,,2.00,0.00,nos,230.00,0.00,0.0,84239020,FALSE,Cochin,Taxable,99381000000006208,GST18,18.000000,82.80,Tax Group,,,goods,,460.00,1040.00,1227.00,,Amal Assosiate,,Teslin
99381000005240087,2022-04-28,DC-00364,others,Draft,,99381000000098082,Cochin,99381000000084508,ACE ELECTRONICS,KL,business_gst,32AAZFA3650P1ZV,false,Standard Template,INR,1.00,entity_level,true,0.000,0.00,Bench PC Step Down Transformer (Output: 6.5v AC),,99381000000542161,TRF6V,,Sales,,1.00,0.00,pcs,90.00,0.00,0.0,84239020,FALSE,Cochin,Taxable,99381000000006208,GST18,18.000000,16.20,Tax Group,,,goods,,90.00,1040.00,1227.00,,Amal Assosiate,,Teslin
99381000005240101,2022-04-28,DC-00365,others,Open,Not Invoiced,99381000000098082,Cochin,99381000000126001,YELLOW SCALES,KL,business_gst,32CPDPS6051P1ZG,false,Standard Template,INR,1.00,entity_level,true,0.000,0.00,ECS5W PRINTER ROLLER WITH HEAD,,99381000002008253,ECS820,,Sales,,2.00,0.00,nos,2200.00,0.00,0.0,84239020,FALSE,Cochin,Taxable,99381000000006208,GST18,18.000000,792.00,Tax Group,,,goods,,4400.00,4400.00,5192.00,,Amal Assosiate,,Teslin
99381000005240171,2022-04-29,DC-00366,others,Delivered,Not Invoiced,99381000000098082,Cochin,99381000000036062,TRAVANCORE SCALES SERVICES,KL,business_gst,32APBPN7027C2ZD,false,Standard Template,INR,1.00,entity_level,true,0.000,0.00,ECS5W PRINTER ROLLER WITH HEAD,,99381000002008253,ECS820,,Sales,,2.00,0.00,nos,2200.00,0.00,0.0,84239020,FALSE,Cochin,Taxable,99381000000006208,GST18,18.000000,792.00,Tax Group,,,goods,,4400.00,4400.00,5192.00,,Amal Assosiate,,Teslin
